Crash Number,Date and Time of Crash,Police Shift,Crash Location,Light Conditions,Weather Conditions,Road Surface,Road Contributing Circumstances,Traffic Control Device Type,Roadway Intersection Type,Trafficway Description,Manner of Collision,First Harmful Event,First Harmful Event Location,Speed Limit,Work Zone,Count Fatal Injury ,Count Suspected Serious Injury,Count Suspected Minor Injury ,Count Possible Injury,Count No Apparent Injury,Count Unknown Injury,Count Not Reported Injury,Total Non-Motorists,Pedestrian Involvement (Non-Motorist),Cyclist Involvement (Non-Motorist),Other Non-Motorist Involvement,Non-Motorist Location ,Non-Motorist Action,Non-Motorist Condition,Hit and Run Flag,Latitude,Longitude,Ward,Block Code 
23007704,2023-02-11 10:26:00,Day Shift (8AM - 4PM),"154 MAIN ST MEDFORD Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH PARKED MOTOR VEHICLE               ,OUTSIDE ROADWAY                                   ,10 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.4144,-71.1104,,250173395002008
18070623,2018-11-29 16:50:00,First Half (4PM - Midnight),"0 MEDFORD ST BRIDGE Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.4013,-71.1057,,250173396005000
21007751,2021-02-12 10:54:00,Day Shift (8AM - 4PM),"553 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,4,0,0,0,0,0,0,,,,N,42.3985,-71.107,,250173396005011
19073165,2019-12-28 20:04:00,First Half (4PM - Midnight),"511 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,UNKNOWN                                           ,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER         ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.398,-71.1052,,250173396005014
18038546,2018-06-28 15:27:00,Day Shift (8AM - 4PM),"511 BROADWAY Somerville, MA",DAYLIGHT                                          ,RAIN                                              ,WET                                               ,NONE                                              ,NO CONTROLS                                       ,T-INTERSECTION                                    ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",ANGLE                                             ,COLLISION WITH PEDESTRIAN                         ,ROADWAY                                           ,30 ,N,0,0,0,1,0,0,0,1,1,0,0,IN ROADWAY                                        ,"WALKING, RUNNING OR CYCLING                       ",APPARENTLY NORMAL                                 ,N,42.398,-71.1052,,250173396005014
20044344,2020-09-15 12:54:00,Day Shift (8AM - 4PM),"487 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ","SIDESWIPE, SAME DIRECTION                         ",COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,1,0,0,0,0,0,,,,N,42.3975,-71.1036,,250173396006004
21008355,2021-02-16 17:11:00,First Half (4PM - Midnight),"487 BROADWAY Somerville, MA",DUSK                                              ,CLOUDY                                            ,WET                                               ,TRAFFIC CONGESTION RELATED                        ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3975,-71.1036,,250173396006004
23053312,2023-09-16 19:38:00,First Half (4PM - Midnight),"487 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLOUDY                                            ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH PARKED MOTOR VEHICLE               ,OUTSIDE ROADWAY                                   ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3975,-71.1036,,250173396006004
22033688,2022-06-15 14:51:00,Day Shift (8AM - 4PM),"487 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",ANGLE                                             ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,3,0,0,0,0,0,0,,,,N,42.3975,-71.1036,,250173396006004
19009671,2019-02-21 20:06:00,First Half (4PM - Midnight),"467 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,WET                                               ,NONE                                              ,NO CONTROLS                                       ,OFF RAMP                                          ,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN              ",SINGLE VEHICLE CRASH                              ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,0,0,2,0,0,0,0,0,0,,,,N,42.3969,-71.1023,,250173396006006
21058510,2021-11-06 18:49:00,First Half (4PM - Midnight),"465 BROADWAY Somerville, MA",DARK - LIGHTED ROADWAY                            ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,25 ,N,0,0,1,0,5,0,0,0,0,0,0,,,,N,42.3969,-71.1023,,250173396006006
20004206,2020-01-24 08:19:00,Day Shift (8AM - 4PM),"453 BROADWAY Somerville, MA",DAYLIGHT                                          ,CLEAR                                             ,DRY                                               ,NONE                                              ,NO CONTROLS                                       ,NOT AT INTERSECTION                               ,"TWO-WAY, NOT DIVIDED                              ",REAR-END                                          ,COLLISION WITH MOTOR VEHICLE IN TRAFFIC           ,ROADWAY                                           ,30 ,N,0,0,0,1,2,0,0,0,0,0,0,,,,N,42.3967,-71.1015,,250173396006010
